OS and Version	Status	Complete Name
Android 	VIDEO_OK	Opera Mini 5
Android 8.0.0	VIDEO_FAILURE	Samsung SM-G570M (Galaxy J5 Prime)
Windows 7	VIDEO_OK	Microsoft Internet Explorer
Windows 7	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Microsoft Edge
Android 6.0.1	VIDEO_OK	Samsung SM-J500G (Galaxy J5)
Android 9	VIDEO_OK	Xiaomi Redmi Note 8
Android 6.0.1	VIDEO_OK	Google Nexus 5X
Android 10	VIDEO_OK	Sony J9210 (Xperia 5)
iOS 11.4	VIDEO_OK	Apple iPhone 8 Plus
Android 6.0.1	VIDEO_OK	Samsung SM-G600FY (Galaxy On7)
Android 9	VIDEO_OK	Huawei ELE-L29 (P30)
Android 9	VIDEO_OK	Samsung SM-A202F (Galaxy A20e)
Windows 7	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Mozilla Firefox
iOS 13.1.3	VIDEO_OK	Apple iPad
Windows 10	VIDEO_OK	Microsoft Edge
Android 8.1.0	VIDEO_OK	LG LM-Q710.FG (Q7)
Android 5.0.2	VIDEO_OK	Sony SOL26 (Xperia Z3)
Android 9	VIDEO_OK	Generic Android 9.0
Windows 10	VIDEO_OK	Google Chrome
Android 6.0	VIDEO_OK	Tecno W2
iOS 13.3	VIDEO_OK	Apple iPhone 11
Android 9	VIDEO_OK	Huawei EVR-L29 (Mate 20 X)
iOS 13.1.3	VIDEO_OK	Apple iPhone 11
Android 8.1.0	VIDEO_OK	Xiaomi Redmi 5
iOS 11.4.1	VIDEO_OK	Apple iPhone 6S Plus
Android 8.0.0	VIDEO_FAILURE	Samsung SM-G930F (Galaxy S7)
Android 7.0	VIDEO_OK	Samsung SM-G928F (Galaxy S6 Edge Plus)
Android 8.1.0	VIDEO_OK	Samsung SM-T380 (Galaxy Tab A 8.0 2017)
Windows 10	VIDEO_OK	Mozilla Firefox
Windows 10	VIDEO_OK	Google Chrome
Android 5.1	VIDEO_OK	OPPO A1601 (F1s)
Android 6.0.1	VIDEO_OK	Samsung SM-J210F (Galaxy J2 (2016))
Android 6.0	VIDEO_OK	LG H815 (G4)
Android 10	VIDEO_OK	Huawei VOG-L29 (P30 Pro)
Android 8.0.0	VIDEO_FAILURE	Samsung SM-A530F (Galaxy A8 2018)
iOS 12.4.2	VIDEO_OK	Apple iPhone
Android 8.0.0	VIDEO_FAILURE	Samsung SM-G930F (Galaxy S7)
iOS 12.4	VIDEO_OK	Apple iPhone XR
Android 9	VIDEO_OK	Motorola Moto G7 Power
Android 9	VIDEO_OK	Generic Android 9.0
Android 8.1.0	VIDEO_OK	Samsung SM-T580 (Galaxy Tab A 10.1)
iOS 12.4	VIDEO_OK	Apple iPad
iOS 13.3	VIDEO_OK	Apple iPhone
Android 6.0.1	VIDEO_OK	Generic Android 6.0
iOS 12.3.1	VIDEO_OK	Apple iPad
Android 	VIDEO_OK	Opera Mini 5
Android 7.0	VIDEO_OK	Samsung SM-T819 (Galaxy Tab S2 9.7)
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Xiaomi Redmi Note 7
Android 9	VIDEO_OK	Samsung SM-A505FN (Galaxy A50)
Mac OS X 10.10.5	VIDEO_OK	Apple Safari
Android 8.0.0	VIDEO_FAILURE	Lenovo K8 Note
Android 8.0.0	VIDEO_FAILURE	Sony F8331 (Xperia XZ)
Android 9	VIDEO_OK	Huawei CLT-L29 (P20 Pro)
Windows 7	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Realme 2 Pro
